Name,Career Domain,Extracted Personality Traits,Life Patterns or Behavioral Themes,Representative Evidence,Sentiment Tone,Birthdate,Insen_1,Insen_2,Insen_3,Insen_4,Insen_5,Insen_6,Insen_7,Insen_8,Insen_9,頭 (Head),胸 (Chest),腹 (Stomach),右手 (Right Hand),左手 (Left Hand),左肩 (Left Shoulder),左足 (Left Leg),右足 (Right Leg),Tenchusatsu
Joe Biden,Politician,"Resilient, Empathetic, Faith-driven (initially), Grief-stricken (following tragedy), Determined, Perseverant, Ambitious, Pragmatic, Relatable (to ordinary people), Traditional (in family values), Affected by loss and grief, Politically adaptable","Overcoming significant adversity, Balancing personal tragedy with public service, Evolution of political ideology, Experience of profound loss and subsequent recovery (or partial recovery), Significant shifts in religious belief, Public image management, Acceptance of political compromises","He considered resigning to care for his sons after the death of his wife and daughter but was persuaded not to.
He contemplated suicide and was filled with anger and religious doubt following the tragedy.
He self-identified as a Republican early in his career but later became a prominent Democrat.
He disliked incumbent Democratic Delaware governor Charles L. Terry's conservative racial politics and supported a more liberal Republican.
Biden's presidency was viewed as a failure by many due to age and health concerns, public frustration over inflation, and the defeat of his vice president.
A December 2024 Gallup poll found that 54% of Americans thought Biden's presidency was below average or poor.",Mixed,1942-11-20,壬,午,辛,亥,丁,丑,丁,壬,己,牽牛,牽牛,禄存,鳳閣,貫索,天祿,天報,天庫,申酉
Rihanna Fenty,"Musician, Entrepreneur","Resilient, Ambitious, Independent, Creative, Determined, Adaptable, Confident, Strong-willed, Vulnerable, Resourceful","Overcoming adversity through self-reliance, Driven pursuit of artistic and entrepreneurial goals, Transformation and reinvention across career stages, Balancing vulnerability and strength, Cultural bridge-building and global impact","She has spoken about witnessing her father physically abuse, retrospectively describing her as 'one of the strongest women I know, if not the strongest'
'I will work my best to be the most successful artist that I can be in five years'
After her second album, she slowly dismissed her dancehall and reggae roots.
'I'm true to my music, and I just want people to realize that and appreciate me for that'
Her music incorporates a wide range of genres including pop, R&B, reggae, dubstep, hip hop and EDM.
Rihanna has become a dominating figure on social media and internet streaming
Rihanna was appointed by the government of Barbados to be an Ambassador Extraordinary and Plenipotentiary",Mixed,1988-02-20,戊,辰,甲,寅,乙,巳,乙,甲,丙,司禄,石門,石門,調舒,貫索,天南,天将,天恍,寅卯
Emmanuel Macron,Politician,"Ambitious, Intellectual, Strategic, Disciplined, Driven, Charismatic, Independent, Reserved, Reflective, High-Achieving, Risk-Taking","Early pursuit of intellectual and social prestige, Strong family influence shaping values and political leanings, Navigating complex relationships with significant others, Consistent drive for advancement and power, Strategic career progression, Confrontation of parental expectations","His parents sent him to Paris due to their alarm at the bond he had formed with Brigitte Auzière
He twice failed to gain entry to the École normale supérieure.
Macron obtained a master's degree in public affairs at Sciences Po
Macron was educated mainly at the Jesuit institute Lycée la Providence before his parents sent him to finish his last year of school at the elite Lycée Henri-IV in Paris
Macron associates his enjoyment of reading and his leftward political leanings to Germaine...
He worked as an editorial assistant to Paul Ricoeur
Macron joined the Socialist Party at the age of 24",Mixed,1977-12-21,丁,巳,壬,子,壬,子,丙,癸,癸,司禄,石門,貫索,石門,禄存,天馳,天将,天将,寅卯
Madonna Louise Ciccone,"Musician, Performer","Ambitious, Driven, Independent, Rebellious, Confident, Determined, Creative, Control-Oriented, Confessional, Vulnerable, Resilient, Risk-Taking, Innovative, Hardworking, Disciplined, Self-Aware, Experimentative, Opportunistic, Ruthless","Early adversity fuels ambition and drive., Consistent reinvention and boundary-pushing., Seeking control and autonomy in career., Uses vulnerability and confession for artistic expression., High achievement orientation coupled with risk-taking behavior., Balancing ambition with interpersonal relationships., Transformation and evolution through creative expression.","'I wasn't rebellious in a certain way. I cared about being good at something.'
'It was the bravest thing I'd ever done.' (referring to moving to NYC)
'I like to have control over most of the things in my career but I'm not a tyrant.'
'Madonna is opportunistic, manipulative, and ruthless—somebody who won't stop until she gets what she wants.'
'She became the first master of viral pop in history...' (Rolling Stone Spain)
'Madonna's music refuses to be defined by narrow boundaries of gender, sexuality or anything else.'
Early death of mother; subsequent ambition and drive for success.
Multiple musical reinventions; pushing boundaries of female artists in music and image.
Frequent shifts in musical styles and image.",Mixed,1958-08-16,戊,戌,庚,申,乙,丑,辛,庚,己,司禄,牽牛,牽牛,禄存,車騎,天庫,天報,天堂,戌亥
Boris Johnson,"Politician, Author","Ambitious, Intellectual, Independent, Charming, Impulsive, Resilient, Competitive, Charismatic, Self-assured, Adaptable","Early Childhood Instability and Adaptation, Strong Sibling Bonds, Academic Achievement and Intellectual Pursuit, Early Ambition and Leadership Aspiration, International upbringing influencing adaptability, Navigating Parental Separation and Instability, Prolific Writing Career, High-profile Public Life","Earliest recorded ambition was to be 'world king'
Quiet, studious as a child
Learnt to speak French attending European School, Brussels
Developed interests in rugby, Ancient Greek, and Latin
Parents' relationship breakdown and divorce
Prolific author of multiple books
High-profile political career",Mixed,1964-06-19,甲,辰,庚,午,己,亥,乙,丁,壬,牽牛,龍高,調舒,司禄,車騎,天堂,天祿,天報,辰巳
Selena Gomez,"Actor, Musician","Resilient, Ambitious, Empathetic, Hardworking, Determined, Independent, Family-Oriented, Strong-Willed, Giving, Sensitive","Overcoming early adversity and hardship, Strong drive for achievement and independence fueled by early struggles, Deep commitment to family despite challenges, Dedication to philanthropic causes and social impact, Navigating complex family dynamics, Balancing personal life with demanding career, Evolution of self-image and career goals over time","'I was frustrated that my parents weren't together, and never saw the light at the end of the tunnel where my mom was working hard to provide a better life for me.' (Reflects resilience and ambition)
'She gave up everything for me, had three jobs, supported me, sacrificed her life for me.' (Highlights family orientation and appreciation)
'I was very shy when I was little [...] I learned everything from Barney.' (Shows personal growth and determination)
Extensive philanthropic work (Rare Impact Fund, donations to various causes). (Demonstrates empathy and giving nature)
Having a large blended family with half-sisters and a stepbrother (Illustrates navigating complex family dynamics)
Simultaneously pursuing acting and music careers (Highlights ambition and drive)
'I prefer acting over music, and only has 'one more album in me'. (Shows evolving career goals and self-reflection)",Mixed,1992-07-22,壬,申,丁,未,己,亥,庚,己,壬,司禄,貫索,龍高,司禄,調舒,天恍,天南,天報,辰巳
Justin Trudeau,Politician,"Charismatic, Empathetic, Ambitious, Reflective, Complex, Sensitive, Adaptable, Privileged, Confident, Articulate","Navigating complex family dynamics, Seeking reconciliation and understanding, Balancing public and private life, Exposure to privilege and its implications, Grappling with legacy and expectation, Evolving sense of self and purpose","""They loved each other incredibly, passionately, completely. But there was 30 years between them, and my mom never was an equal partner in what encompassed my father's life, his duty, his country."" (Reflecting on parents' complex relationship)
""Justin is a mommy's boy, so it's not easy, but children's hurts mend very quickly. And they're lucky kids, anyway."" (Early life influence of maternal figure)
His apology and later statement about the event have been described as hypocritical... (Demonstrates complex and potentially contradictory behaviors)
""that was where our father got to be just our father – a dad in the woods"" (Seeking intimacy and connection)
The eulogy at his father's funeral...described as ""perhaps... the first manifestation of a dynasty"" (Early demonstration of public presence and grappling with legacy)
Attended prestigious schools, given significant inheritance (Illustrates privilege and its influence)
Pursued diverse academic paths (literature, education, engineering, environmental geography) (Demonstrates adaptability and intellectual curiosity)",Mixed,1971-12-25,辛,亥,庚,子,甲,申,壬,癸,庚,牽牛,玉堂,車騎,車騎,龍高,天貴,天恍,天馳,午未
Lady Gaga,"Musician, Performer","Driven, Disciplined, Creative, Insecure, Provocative, Resilient, High-Achieving, Introspective, Expressive, Independent, Emotionally Sensitive","Early artistic inclination and rigorous self-discipline leading to early career success., Overcoming adversity (rape, label rejection) through resilience and creative expression., Continual reinvention and exploration of diverse artistic styles reflecting a need for self-discovery and creative evolution., Use of provocative persona and artistic expression for social commentary and self-empowerment., Balancing vulnerability and strength, demonstrating emotional depth alongside a strong drive for success.","'very dedicated, very studious, very disciplined' but also 'a bit insecure'
'I don't know exactly where my affinity for music comes from, but it is the thing that comes easiest to me'
Gaga began playing the piano at age four when her mother insisted she become 'a cultured young woman'
In 2014 interview, Gaga discussed being raped at age 19 by her producer, and later undergoing mental and physical therapy for this.
She has post-traumatic stress disorder (PTSD) and attributes it to the incident, stating that the trauma had changed her as a person, and would never leave her.
Gaga has credited support from doctors, family, and friends with helping her.
Critics have analyzed and scrutinized Gaga's musical and performance style, as she has experimented with new ideas and images throughout her career. She has called the continual reinvention 'liberating', and has been drawn to it since childhood.
Gaga has said that synesthesia, characterized by her seeing colors while making music, has played a key role in her creative process
Gaga often been praised for using controversy to bring attention to various issues.
She has called the continual reinvention 'liberating', and has been drawn to it since childhood.",Mixed,1986-03-28,丙,寅,辛,卯,辛,未,甲,乙,己,牽牛,禄存,貫索,龍高,司禄,天報,天馳,天堂,戌亥
Angela Davis,"Activist, Scholar","Principled, Resilient, Courageous, Intellectual, Determined, Socially Conscious, Independent, Committed, Strategic, Articulate","Early exposure to social injustice fueled lifelong activism, Consistent pursuit of education and intellectual engagement despite adversity, Strategic engagement in political movements, prioritizing social change, Navigating conflict and opposition with resilience and determination, Dedication to social justice and equality as core values","Early involvement in the Girl Scouts led to protesting racial segregation.
Continued her education despite FBI interference and political persecution.
Strategic use of education and activism to promote social change.
Withstood a trial for murder and kidnapping, demonstrating resilience.
Her lifelong commitment to communist ideals and fighting for social justice.",Positive,1944-01-26,甲,申,乙,丑,己,丑,庚,己,己,牽牛,貫索,車騎,貫索,調舒,天恍,天庫,天庫,午未
Bill Gates,Tech Entrepreneur,"Highly Intelligent, Driven/Ambitious, Competitive, Persistent/Determined, Risk-Taking, Independent/Autonomous, Problem-Solving Oriented, Technically Inclined, Resourceful, Early Achiever, Results-Oriented, Strategic Thinker","Early exposure to competitive environment fostered ambition and achievement drive, Strong interest in technology and programming manifested early and shaped career path, Overcoming obstacles (bullying, system limitations) strengthened determination, Risk-taking and entrepreneurial spirit led to dropping out of Harvard and founding Microsoft, Collaboration and partnership played crucial roles in success (Allen, Ballmer), Early loss (Evans) potentially shaped resilience and focus, Balancing family expectations (law) with personal passions (technology) created internal conflict, yet ultimately led to self-directed path","The family encouraged competition; ... there was always a reward for winning and there was always a penalty for losing.
Gates took an interest in programming... and he was excused from math classes to pursue his interest.
Gates and other students sought time on systems...  exploiting bugs in the operating system to obtain free computer time.
Gates dropped out of Harvard that same year.
He explained his decision to leave Harvard: 'if things hadn't worked out, I could always go back to school.'
He then turned to Allen who helped him finish the system for Lakeside.
At age 17, Gates formed a venture with Allen called Traf-O-Data...",Positive,1955-10-28,乙,未,丙,戌,壬,戌,己,辛,辛,調舒,玉堂,禄存,玉堂,牽牛,天印,天南,天南,子丑
Adele Laurie Blue Adkins,Musician,"Emotionally expressive, Introspective, Resilient, Driven by passion, Sensitive, Vulnerable, Independent, Self-aware, Determined, Nostalgic, Deeply affected by relationships, Observant, Influenced by her musical idols","Early exposure to hardship and instability (parental separation), Strong attachment to place and memory, Deep engagement with music as a coping mechanism and source of identity, Significant impact of romantic relationships on creative output, Periods of self-doubt and vulnerability intertwined with periods of immense drive and success, Reluctance to compromise artistic vision, Significant influence of artistic role models and mentors","She became obsessed with voices.
It has quite monumental moments of my life that I've spent there, and I drove past it [in 2015] and I just literally burst into tears. I really missed it.
I couldn't bear to be without him, so I was like, 'Well, I'll just cancel my stuff then.'
I'm like, 'I can't believe I did that.' It seems so ungrateful.
I was drinking far too much and that was kind of the basis of my relationship with this boy.
Adele credits the school with nurturing her talent even though, at the time, she was more interested in going into artists and repertoire (A&R) and hoped to launch other people's careers.
Having referred to 21 as a 'break-up record', Adele labelled her third studio album, 25, a 'make-up record', adding it is about 'Making up for lost time. Making up for everything I ever did and never did.'
Adele has cited the Spice Girls as a major influence in regard to her love and passion for music, stating that 'they made me what I am today'.
In a 2011 interview, Adele deemed Hill's record The Miseducation of Lauryn Hill as her favourite album...
If it wasn't for Amy and Frank, one hundred per cent I wouldn't have picked up a guitar, I wouldn't have written 'Daydreamer' or 'Hometown [Glory]' and I wrote 'Someone like You' on the guitar too.",Mixed,1988-05-05,戊,辰,丁,巳,庚,申,乙,丙,庚,龍高,車騎,牽牛,貫索,司禄,天印,天貴,天祿,子丑
George W. Bush,Politician,"Competitive, Sociable, Charismatic, Risk-Taking, Traditional, Loyal, Determined, Confident, Independent, Relatively Low Self-Doubt (Early Life), Ambitious, Leader-Oriented","Early Life Privilege and Loss (Sister's death), Desire for Achievement and Validation (Academic & athletic pursuits, Military, Business, Politics), Confrontational Leadership Style (Iraq War, Political stances), Relatively High Tolerance for Risk (Business ventures, Political decisions), Strong Family Ties and Loyalty (Family background, relationships), Seeking External Validation (Popularity, Public Approval), Pattern of Success Followed by Controversy (Business, Presidency)","Played baseball and was head cheerleader in high school – Competitive, Sociable
Member of Skull and Bones, President of Fraternity – Leader-Oriented, Ambitious
Entered the Air National Guard – Risk-Taking, Duty-Oriented
Established Arbusto Energy and later involved in Texas Rangers ownership – Ambitious, Risk-Taking, Business Acumen
His father's political career – Influence of Family, Traditional Values
Iraq War decisions – Risk-Taking, Determined, Confident, Confrontational Leadership
Controversies surrounding his military service and business dealings – Pattern of Success Followed by Controversy
Reaction to 9/11 – Determined, Risk-Taking, Leader-Oriented
Sister's death at a young age – Early Life Loss",Mixed,1946-07-06,丙,戌,甲,午,辛,巳,辛,丁,丙,牽牛,車騎,司禄,牽牛,貫索,天南,天胡,天極,申酉
Johnny Depp,"Actor, Musician","Independent, Creative, Rebellious, Sensitive, Empathetic, Impulsive, Romantic, Intense, Charismatic, Complex, Self-Expressive, Risk-Taking, Idealistic, Nonconformist","Early pursuit of artistic expression, defying societal expectations, Frequent collaborations, seeking creative partnerships, Public image struggles and controversies stemming from impulsive behavior, Philanthropic endeavors reflecting empathy and social consciousness, Musical pursuits as a consistent source of personal expression and identity, Periods of intense creative output followed by periods of relative withdrawal or introspection, Strong emotional connection to his family and close relationships","Dropped out of high school at 16 to pursue music
Frequent collaborations with Tim Burton
Controversies surrounding his Native American ancestry claims and personal life
Significant charitable donations to various causes
Long-standing musical career alongside acting
Periods of intense filmmaking followed by periods of relative quiet
His deep emotional connection with his mother and his daughter, Lily-Rose Depp",Mixed,1963-06-09,癸,卯,戊,午,癸,未,乙,丁,己,貫索,禄存,牽牛,車騎,鳳閣,天貴,天馳,天庫,申酉
Hillary Clinton,Politician,"Ambitious, High-achieving, Determined, Independent, Principled, Competitive, Analytical, Socially conscious, Resilient, Strategic","Early exposure to political engagement and social justice issues shaped her values and ambitions., Strong sense of agency and determination to overcome gender barriers., Consistently sought leadership roles and excelled in competitive environments., Demonstrated ability to navigate complex political landscapes and adapt to changing circumstances., Commitment to public service and advocacy for social causes., A blend of conservative and liberal viewpoints, indicating a nuanced and potentially complex ideological framework.","Graduated in the top five percent of her class
Elected class vice president
Sent a letter to NASA aspiring to be an astronaut
Helped canvass Chicago's South Side at age 13 investigating electoral fraud
Volunteered to campaign for Barry Goldwater
Saw evidence of conflict between her high school history teacher and Methodist youth minister as 'an early indication of the cultural, political and religious fault lines that developed across America'
Overcame the statement 'you are really stupid if you think a girl can be elected president'",Mixed,1947-10-26,丁,亥,庚,戌,戊,寅,壬,辛,甲,玉堂,調舒,鳳閣,車騎,禄存,天馳,天庫,天貴,申酉
Bill Clinton,Politician,"Charismatic, Ambitious, Resilient, Adaptable, Empathetic, Competitive, Rhetorically Skilled, High Achiever, Forgiving, Complex, Driven","Overcoming Early Adversity, Strong Drive for Achievement and Recognition, Navigating Complex Family Dynamics, Political Ambition Shaped by Early Influences, Capacity for Forgiveness and Reconciliation, Strategic Use of Personal Narrative","'budding rhetorical and political skills'
challenged his stepfather to 'stand and face' him
visit as a Boys Nation senator to the White House
memorized Martin Luther King Jr.'s 'I Have a Dream' speech
would eventually forgive Roger Sr. for his abusive actions
made use of his 'budding rhetorical and political skills'
felt that his musical skills would never match the skills of the best musicians, so pursued politics instead",Mixed,1946-08-19,丙,戌,丙,申,乙,丑,辛,庚,己,調舒,牽牛,調舒,禄存,車騎,天庫,天報,天堂,戌亥
Gigi Hadid,Model,"Ambitious, Disciplined, Adaptable, Independent, Resilient, Family-Oriented, Competitive, Driven, Confident, Resourceful","Early exposure to the public eye and modeling industry, leading to early career development and later career focus., Strong family ties and support system influencing personal and professional decisions., Balancing academic aspirations with career demands, highlighting adaptability and prioritization skills., Desire for independence and autonomy, evident in pursuing higher education and managing a high-profile career., A pattern of achieving goals through perseverance and strategic decision-making (e.g., changing her name, switching to modeling).","Early start in modeling at age two, suggesting early exposure to public life and career ambition.
Being captain of the varsity volleyball team demonstrates competitiveness and leadership.
Choosing to study criminal psychology and then suspending studies to pursue modeling reveals adaptability and prioritization of goals.
The adoption of the nickname 'Gigi' to avoid confusion shows resourcefulness and a proactive approach to navigating social situations.
Her family background and close relationships with siblings suggest a strong family-oriented nature.
Successfully balancing high-profile career with family life demonstrates resilience and effective time management.",Positive,1995-04-23,乙,亥,庚,辰,甲,申,壬,乙,庚,石門,石門,車騎,車騎,龍高,天貴,天堂,天馳,午未
